wdid,icrsra,icrsdec,spectype,teff,logg,Dpc
Gaia DR2 3305271423569212288,04 12 30.86,13 19 37.25,DA:,5681.0,8.088,48.32
Gaia DR2 3305474760206403200,04 04 38.07,13 30 53.17,DA,5628.0,7.846,68.57
Gaia DR2 3305539631390995200,04 09 23.17,13 42 03.84,DA,5254.0,8.29,72.71
Gaia DR2 3305693425580086912,04 32 24.27,10 16 19.44,DZ,8400.0,8.241,97.29
Gaia DR2 3306516925429013248,04 33 13.11,11 53 54.24,DC:,6789.0,8.197,78.92
Gaia DR2 330661599315957504,02 08 09.24,37 29 38.13,DA,5689.0,8.543,33.04
Gaia DR2 330668226449237760,02 04 36.35,36 56 26.12,DA,5490.0,8.122,91.78
Gaia DR2 3307769750209373696,04 30 29.55,13 36 50.50,DA:,4813.0,7.764,62.23
Gaia DR2 3308815110889737344,04 42 09.65,14 21 25.04,DA:,4834.0,7.845,65.44
Gaia DR2 3309378511814580736,04 31 29.42,14 21 53.70,DA,5878.0,7.906,97.11
Gaia DR2 3309663491486629248,04 40 26.50,15 02 04.25,DA,7933.0,8.049,80.94
Gaia DR2 3311813685256807040,04 13 19.07,15 22 39.51,DC,5754.0,8.034,68.31
Gaia DR2 3312443091239562624,04 31 52.43,15 02 25.46,,,,69.20
Gaia DR2 3312860733860742272,04 30 49.94,16 11 03.97,DA,8700.0,8.027,56.42
Gaia DR2 331355288075289472,02 12 32.86,37 13 10.41,DC,4951.0,7.924,46.75
Gaia DR2 3313742056853382144,04 25 52.47,16 53 14.57,DA,6984.0,7.976,65.16
Gaia DR2 3313861186362477824,04 22 29.72,16 57 06.49,DAH,6623.0,7.896,75.86
Gaia DR2 3314967982254800896,05 58 28.29,01 00 25.66,CND,,,89.63
Gaia DR2 3315330438840951552,06 06 29.11,02 07 21.97,DA,13812.0,7.886,85.06
Gaia DR2 3315373564607614208,06 08 18.77,02 04 55.75,DC,9661.0,8.219,45.33
Gaia DR2 3315967953720905216,05 59 05.22,02 28 02.38,DA,22036.0,7.567,98.91
Gaia DR2 3316000080076232960,05 56 16.79,02 21 33.42,DA,10825.0,7.995,92.98
Gaia DR2 3316555604029932928,06 00 57.22,03 27 26.47,DA:,4597.0,7.866,45.52
Gaia DR2 3317636703137518208,06 19 10.06,04 35 53.96,CND,,,46.91
Gaia DR2 3317669890345215744,06 21 20.01,04 55 35.04,DA,6066.0,8.207,73.86
Gaia DR2 3318030740614678144,06 05 48.08,03 44 10.10,DC:,6777.0,8.31,69.88
Gaia DR2 3318463707678938368,06 05 55.49,05 05 13.21,DA,9905.0,8.032,81.03
Gaia DR2 3318612893365741824,06 10 16.64,05 05 36.06,DC,5384.0,7.951,89.53
Gaia DR2 3318722672728544384,06 11 28.34,05 44 47.05,DA,6719.0,8.025,91.67
Gaia DR2 3319426463252487424,05 51 41.58,03 57 57.39,DA,4444.0,7.926,70.96
Gaia DR2 3319879122738292736,05 56 06.63,04 28 14.34,DA:,7375.0,8.052,90.92
Gaia DR2 3320336687079870848,05 43 43.96,04 10 01.63,DA,5960.0,8.086,91.63
Gaia DR2 3320636136493303680,05 38 42.74,04 39 15.24,,,,45.81
Gaia DR2 3321431014682434176,05 59 21.56,05 12 50.81,DA,10663.0,7.989,71.89
Gaia DR2 3321844289319037312,06 00 38.65,06 23 37.73,DA,5337.0,8.025,55.85
Gaia DR2 3322260454472532224,06 03 50.61,06 50 37.00,DZ,6836.0,8.08,82.81
Gaia DR2 332248057157474176,02 09 15.51,38 04 25.39,DA,14775.0,8.178,83.60
Gaia DR2 3322546396213589760,05 54 59.91,06 19 37.66,DZ,7205.0,8.354,67.62
Gaia DR2 3322605013926459520,05 53 26.34,06 27 59.59,,,,41.15
Gaia DR2 3322752730737230208,05 56 51.26,07 06 38.73,DA:,5773.0,8.164,87.27
Gaia DR2 3323096740438265728,06 00 31.25,07 20 09.51,DC:,6173.0,8.039,81.48
Gaia DR2 3323118004821936768,05 59 21.64,07 31 44.46,DC,4651.0,,83.53
Gaia DR2 332463900735873280,02 08 08.20,38 32 24.19,DA,6589.0,7.965,83.25
Gaia DR2 3324963367588643968,06 20 54.48,07 00 48.86,DA,10126.0,7.569,88.89
Gaia DR2 3325306582725392000,06 15 22.46,07 56 46.81,DA,5805.0,8.054,48.57
Gaia DR2 33253427807481600,02 50 24.37,14 58 36.02,,,,98.30
Gaia DR2 3326650224581677312,06 44 00.51,09 26 04.23,DAH,6217.0,8.111,30.04
Gaia DR2 3327647271174824704,06 35 26.82,10 13 02.27,DA,7225.0,8.423,93.09
Gaia DR2 3328058591603302784,06 35 38.25,11 17 31.57,DQ,9145.0,8.266,75.13
Gaia DR2 3328211767314219136,06 13 30.54,07 52 56.40,DA,6813.0,8.03,95.31
Gaia DR2 3328395286975896064,06 11 37.40,08 26 03.99,DA,6168.0,8.317,98.52
Gaia DR2 3329120036933913984,06 14 36.64,09 48 04.86,CND,,,87.14
Gaia DR2 3329137521744738688,06 14 11.90,09 59 37.56,,,,98.08
Gaia DR2 3329297122730109056,06 06 40.73,08 38 58.45,DA,7382.0,8.51,86.87
Gaia DR2 3329891756660774656,06 12 53.30,10 08 11.22,DA,5398.0,8.001,82.76
Gaia DR2 3330014107393211264,06 13 24.26,10 32 33.54,DA,8275.0,8.422,78.50
Gaia DR2 3330320390098370432,06 13 06.76,11 24 30.81,DA,6571.0,7.968,82.00
Gaia DR2 3330351279502287616,06 10 37.79,11 20 24.05,DA,5564.0,8.263,69.84
Gaia DR2 3330957870623351424,06 22 01.26,11 37 31.58,DA,9649.0,8.224,52.64
Gaia DR2 3331035557987931776,06 28 42.34,11 29 15.11,DA,5452.0,7.907,49.36
Gaia DR2 333157692573502080,02 14 36.37,40 48 57.82,DC:,4817.0,8.004,53.83
Gaia DR2 3332184886941958912,06 21 37.61,12 35 59.94,CND,,,29.46
Gaia DR2 3332363385783544192,06 26 07.10,13 38 21.32,DA,7523.0,7.005,78.04
Gaia DR2 3332506395312606208,06 19 12.55,13 29 22.44,DA,6123.0,8.074,67.42
Gaia DR2 3332761855668238464,05 35 49.45,05 26 33.25,DA,8974.0,8.394,81.85
Gaia DR2 3333336968968120576,05 42 37.43,06 41 12.56,DZ,4724.0,7.75,97.67
Gaia DR2 3333427648612765440,05 46 46.06,07 15 51.57,DA:,5273.0,8.192,67.38
Gaia DR2 3333971597632801920,05 35 43.02,07 02 14.12,DA,15410.0,7.985,75.28
Gaia DR2 3334379344646313088,05 37 24.87,07 31 11.07,DA,6356.0,8.28,43.97
Gaia DR2 3334380100562482432,05 37 21.00,07 32 31.46,DC,7856.0,8.488,43.69
Gaia DR2 3335229056681133952,05 45 31.41,08 13 58.54,,,,57.93
Gaia DR2 3335232286495908992,05 47 20.92,08 07 01.40,DA,12249.0,8.259,93.08
Gaia DR2 333536852290245504,02 39 36.85,37 33 59.62,DA,5045.0,8.062,71.77
Gaia DR2 3335504587422612736,05 53 35.63,08 47 16.97,DA,6810.0,8.54,64.62
Gaia DR2 3336028302849787904,05 53 14.55,10 26 46.63,DA,10425.0,7.928,99.84
Gaia DR2 3336313351242526592,05 44 55.47,09 58 31.22,DA,9218.0,8.806,63.88
