wdid,teff,logL,parallax,Dpc,G,BP,RP
Gaia DR2 1783621822638688768,6788.0,,10.72616217,93.23,18.527994,18.717339,18.272842
Gaia DR2 1799761927489297152,4695.0,,12.16953204,82.17,19.459396,20.018454,18.83564
Gaia DR2 1815614965310875520,10511.0,,12.11969864,82.51,16.680668,16.700752,16.639475
Gaia DR2 1817158610922788352,6562.0,,24.28120226,41.18,17.300867,17.572752,16.91249
Gaia DR2 1817244643402979328,4732.0,,10.90852565,91.67,19.870966,20.423588,19.192842
Gaia DR2 1817995506766892800,6690.0,,19.23360263,51.99,17.562122,17.758701,17.126148
Gaia DR2 1836557054060949120,7209.0,,13.67375933,73.13,18.245762,18.467014,17.934458
Gaia DR2 185930719089891712,4877.0,,10.41855708,95.98,19.525831,20.24519,18.953106
Gaia DR2 1860318973495642240,11785.0,,10.51297208,95.12,16.784986,16.78708,16.79375
Gaia DR2 1886463401496969216,6045.0,,12.02823799,83.14,18.6881,19.012209,18.360987
Gaia DR2 190243755313410816,9843.0,,11.28463152,88.62,17.71096,17.808916,17.58525
Gaia DR2 1908476521936298496,8922.0,,12.26269294,81.55,17.493046,17.566368,17.37389
Gaia DR2 1950856128179838592,7427.0,,10.20979518,97.95,18.665508,18.90081,18.315056
Gaia DR2 1986124819066332928,6970.0,,10.32048918,96.89,18.752783,18.9821,18.46851
Gaia DR2 1996825098731349120,11591.0,-2.56,10.02263454,99.77,16.817259,16.80852,16.822027
Gaia DR2 2011999248245437696,7222.0,,10.82352248,92.39,18.538738,18.734453,18.210526
Gaia DR2 2039894717236055552,4829.0,,12.01617397,83.22,19.30745,19.846077,18.746464
Gaia DR2 2052141215187527168,4684.0,,14.32772314,69.79,19.312136,19.894218,18.668842
Gaia DR2 2067245446933399936,5465.0,,14.86890767,67.25,19.059713,19.498903,18.48545
Gaia DR2 209405631644850688,7215.0,,11.27999322,88.65,18.465727,18.66429,18.171593
Gaia DR2 2117116481169240064,10136.0,,10.94505636,91.37,17.445879,17.525785,17.348484
