wdid,teff,logL,parallax,Dpc,G,BP,RP
2MASS J14485925-0232293,9199.0,,12.75751725,78.39,16.935556,17.012537,16.791695
2MASS J14523000+4625123,10425.0,,13.7205931,72.88,16.03345,16.07649,15.999784
2MASS J14552136+5655442,15149.0,-2.15,19.22817638,52.01,14.851837,14.811486,14.966829
2MASS J15110990+4048014,8327.0,-3.19,18.19044461,54.97,15.658522,15.775187,15.440579
2MASS J15251217-0421286,9977.0,,13.52565603,73.93,16.482573,16.53929,16.408848
2MASS J15333300-0206556,11208.0,,10.93362613,91.46,16.51303,16.540945,16.521713
2MASS J15390421+5811158,7095.0,,14.06102521,71.12,17.662683,17.859045,17.343348
2MASS J15395084+0154001,8761.0,,11.39190231,87.78,17.387358,17.514988,17.199259
2MASS J15495631+2009143,8765.0,,11.63511849,85.95,17.20126,17.251713,17.024137
2MASS J15593735+2529090,8436.0,,18.58191033,53.82,16.471285,16.593925,16.250538
2MASS J16232413+3436467,7596.0,,16.56453783,60.37,17.100462,17.252216,16.474648
2MASS J16263203+1355547,6808.0,-3.48,17.70407726,56.48,17.252024,17.467478,16.893536
2MASS J16265989+4918028,9372.0,,15.44655465,64.74,16.467876,16.54491,16.337708
2MASS J16392030+4030413,8308.0,,16.03193606,62.38,16.982845,17.103909,16.774776
2MASS J16403197+2229289,7487.0,,14.05140106,71.17,17.521498,17.689775,17.237904
2MASS J17051325+0423452,8261.0,-3.35,21.84837345,45.77,16.078337,16.194218,15.860197
2MASS J17223000+2645275,14861.0,,15.87545045,62.99,15.3166895,15.283158,15.413051
2MASS J17281847+0211101,8165.0,-3.31,22.99292012,43.49,16.19263,16.312387,15.971752
2MASS J18134856+2119206,18200.0,-1.75,13.1975626,75.77,15.2926235,15.233494,15.431208
2MASS J18215954-5951484,4748.0,-3.79,33.16230061,30.15,16.556946,17.078196,15.878404
2MASS J18244431+6001596,11800.0,,10.40436089,96.11,16.148672,16.1686,16.151031
2MASS J18441262+4120293,7554.0,,15.45659989,64.70,16.038967,16.65538,15.146436
2MASS J18571395+2026292,6649.0,-3.93,30.66402181,32.61,16.596497,16.823763,16.223463
2MASS J19131653+2949275,6197.0,-3.69,26.96819448,37.08,16.938068,17.213648,16.506166
2MASS J19492350+0747318,9245.0,-3.07,27.37146389,36.53,15.367954,15.447195,15.223403
2MASS J20061696+5902273,13850.0,-2.15,13.13099234,76.16,15.512101,15.4864855,15.608817
2MASS J20124874-4659024,5809.0,,36.02710098,27.76,16.368242,16.68941,15.875804
2MASS J20453123+1526433,13026.0,,11.70685072,85.42,16.42843,16.4213,16.480387
2MASS J20590586-0033476,7542.0,,13.38702484,74.70,17.529377,17.687803,17.235498
2MASS J21293521+0013321,8845.0,,15.28391892,65.43,15.5360155,15.633471,15.369699
2MASS J22303724+1256212,7503.0,,23.50474161,42.54,17.018507,17.17657,16.749302
2MASS J22304953-0945090,7279.0,,14.50354666,68.95,17.32978,17.510248,17.043951
2MASS J22385855+1313039,8036.0,,15.82710664,63.18,16.951464,17.078236,16.710825
2MASS J22415762+1332390,5990.0,-3.71,28.01818027,35.69,17.16184,17.464367,16.701025
2MASS J22452948-1002442,8740.0,,17.66243227,56.62,16.941645,17.055899,16.752842
2MASS J22593378+5717572,5247.0,-3.99,17.87955616,55.93,18.319014,18.745682,17.741743
2MASS J23024490+4312478,8033.0,-3.28,19.05847927,52.47,16.467062,16.594292,16.233126
2MASS J23095848+5506491,5531.0,-3.82,60.89459838,16.42,15.6044655,15.966105,15.065339
2MASS J23390042+5316000,6359.0,-3.46,23.0357397,43.41,17.004562,17.258999,16.596798
2QZ J131125.1-003401,6459.0,,12.14633102,82.33,18.799877,19.099136,18.337023
2SLAQ J104912.65-000854.9,6792.0,,12.07876522,82.79,18.190279,18.423004,17.873075
2SLAQ J203853.55+003731.3,7231.0,,10.18430902,98.19,18.46415,18.65047,18.156754
2SLAQ J210818.27-003310.3,6270.0,,11.57318319,86.41,18.728064,19.033367,18.293423
2SLAQ J223910.23-001155.6,7358.0,,10.65433994,93.86,18.651926,18.7786,18.339201
A2 42,6611.15654717117,,15.53996468,64.35,17.57357,17.783426,17.243578
BD+34 2473B,14501.0,,10.59093573,94.42,16.194529,16.162424,16.298616
BD+39 539B,5977.0,,23.95453807,41.75,17.159267,17.485003,16.684296
BD+43 100B,10005.0,,13.01790414,76.82,16.543623,16.5886,16.456837
BD+52 913,60701.0,,19.04967406,52.49,11.718442,11.546422,12.070696
BD+80 670B,8019.0,,14.94074396,66.93,16.435427,16.550573,16.228268
BD-07 3632,14563.0,-2.21,62.14845774,16.09,12.355109,12.323377,12.457539
BPM 19652,22410.0,,10.06289835,99.37,15.523991,15.435741,15.724543
BPM 24602,15052.0,,37.46175778,26.69,13.525937,13.484514,13.633693
BSO 15,7691.0,,11.76488837,85.00,17.723383,17.873953,17.482456
CBS 130,10965.0,,11.60404509,86.18,16.543045,16.571564,16.537094
CBS 173,13592.0,,12.20909819,81.91,16.297886,16.28328,16.369118
