wdid,teff,logL,parallax,Dpc,G,BP,RP
Gaia DR2 1039078998380506880,4638.0,,10.9746327,91.12,20.393976,20.573975,20.169273
Gaia DR2 1040866941726072064,6154.0,,11.66069547,85.76,18.83371,19.072565,18.43178
Gaia DR2 104118528470334720,6872.0,,10.51118261,95.14,17.743683,17.9296,17.43636
Gaia DR2 1041763971415231872,4338.0,,17.35577677,57.62,18.996817,19.67271,18.23371
Gaia DR2 1043885758275341184,9273.0,,10.69751872,93.48,17.536772,17.60195,17.446262
Gaia DR2 1047228922162323968,6529.0,,14.4278107,69.31,17.702541,17.912693,17.372997
Gaia DR2 1048769578471443072,5495.0,,13.34641639,74.93,18.660057,18.978907,18.245605
Gaia DR2 1050272718241775488,6378.0,,13.83338001,72.29,18.376926,18.617243,17.975271
Gaia DR2 105240786245136256,3968.0,,26.12853194,38.27,18.359375,19.12671,17.525488
Gaia DR2 1053106739526215424,5046.0,,11.72427808,85.29,19.370804,19.982414,18.804985
Gaia DR2 1053321934567306752,6470.0,,11.18436182,89.41,18.712263,18.925625,18.319298
Gaia DR2 1053338358522319104,,,10.20725869,97.97,20.142097,20.769514,19.724531
Gaia DR2 1056993135172962176,7353.0,,16.10632006,62.09,17.590487,17.747837,17.32074
Gaia DR2 1064978578888570496,4450.0,,21.74921335,45.98,18.43831,19.071733,17.705397
Gaia DR2 1067421801098857728,4962.0,,15.93230291,62.77,18.730824,19.149864,18.132284
Gaia DR2 1071186318459220864,4891.0,,19.02018828,52.58,18.322062,18.841097,17.67816
Gaia DR2 1077590114697601024,7224.0,,13.04464804,76.66,18.020685,18.18214,17.74201
Gaia DR2 1078762846927880192,6191.0,,15.3390235,65.19,18.789576,19.07304,18.323652
Gaia DR2 1080303919849120128,8358.0,,18.36072653,54.46,16.62698,16.718252,16.474903
Gaia DR2 1081514379072280320,4417.0,,24.88312113,40.19,18.295347,18.909338,17.568846
Gaia DR2 1084764020047940096,7921.0,,28.55117065,35.02,15.956118,16.065464,15.754353
Gaia DR2 1086097585917670784,7677.0,,12.80352352,78.10,18.124786,18.292997,17.837757
Gaia DR2 108636215590811264,7888.0,,11.13052342,89.84,18.549006,18.739252,18.214462
Gaia DR2 1094608119452121856,8602.0,,11.80554677,84.71,17.818064,17.896557,17.693043
Gaia DR2 1094919590481107968,6655.0,,24.26192237,41.22,16.719412,16.894182,16.417849
Gaia DR2 1095872381727479936,7990.0,,13.85332131,72.18,17.579918,17.701635,17.395021
Gaia DR2 1104711321343372032,7784.0,,13.54350654,73.84,18.020071,18.178463,17.794333
Gaia DR2 1114882147497840512,7983.0,,10.05405363,99.46,18.29095,18.414732,18.118614
Gaia DR2 1117334024067935872,4740.0,,26.20633105,38.16,18.117529,18.65836,17.43803
Gaia DR2 1132614349476009728,6318.0,,10.8179411,92.44,18.908232,19.166574,18.59648
Gaia DR2 1135534927237104128,7417.0,,19.77558375,50.57,17.395966,17.561516,17.104462
Gaia DR2 1138042677038059904,9796.0,,11.67384205,85.66,17.09815,17.146093,17.033548
Gaia DR2 1140399961247676544,4905.0,,16.73350291,59.76,18.769077,19.175346,18.115007
Gaia DR2 1146255612287729280,5110.0,,10.84223077,92.23,19.502338,20.014402,18.87854
Gaia DR2 1152639342435435904,5054.0,,12.19641951,81.99,19.297234,19.809795,18.703236
Gaia DR2 1154209685558171520,5027.0,,12.28119317,81.43,19.272884,19.816027,18.729773
Gaia DR2 1166330259362301440,10016.0,,24.13452062,41.43,15.460202,15.484096,15.393048
Gaia DR2 1171041215714699904,4235.0,,17.63448769,56.71,19.270674,19.772503,18.495556
Gaia DR2 1175242896321238400,5898.0,,15.13832621,66.06,18.144915,18.405489,17.776512
Gaia DR2 1176312965948448512,6376.0,,13.19816672,75.77,18.316608,18.535885,18.001812
Gaia DR2 1197139189352207232,5112.0,,15.8041845,63.27,18.816431,19.211306,18.21089
Gaia DR2 1201304517354978688,5065.0,,14.1418554,70.71,18.999498,19.43641,18.482166
Gaia DR2 1211862818279517824,5159.0,,14.93114668,66.97,18.898994,19.354517,18.313648
Gaia DR2 1216212932955510528,4633.0,,14.2135629,70.36,19.16534,19.568888,18.71904
Gaia DR2 1218104543928648832,5725.0,,13.76527907,72.65,18.430433,18.70497,18.04537
Gaia DR2 1222254066452610176,6449.0,,15.02615258,66.55,18.449736,18.713219,18.104738
Gaia DR2 1222865601075380480,6198.0,,12.81137386,78.06,18.374659,18.576889,18.022827
Gaia DR2 122341593670893440,5135.0,,10.54155409,94.86,20.450218,20.597742,20.185364
Gaia DR2 1225189552042779904,7801.0,,13.55040564,73.80,17.527214,17.648335,17.333868
Gaia DR2 1229916112012470528,4626.0,,13.72317042,72.87,19.089262,19.528345,18.571022
Gaia DR2 1230679413599906176,5783.0,,12.26503199,81.53,18.791655,19.146189,18.354063
Gaia DR2 1232908123669385216,5022.0,,10.82605265,92.37,19.642323,20.164248,19.052237
Gaia DR2 1238591671072637184,5944.0,,10.28345786,97.24,19.240164,19.525871,18.825378
Gaia DR2 1241188721832696704,8121.0,,16.12869263,62.00,17.215818,17.309196,17.052729
Gaia DR2 1242573758590597120,5698.0,,19.58161804,51.07,17.89464,18.21642,17.432762
Gaia DR2 1246230047071154944,7397.0,,10.9246352,91.54,18.17047,18.272163,17.859129
Gaia DR2 1249747212968218496,4778.0,,19.38632475,51.58,18.495445,19.026997,17.823616
Gaia DR2 1254241707265648768,5074.0,,21.63203431,46.23,18.305265,18.801447,17.723974
Gaia DR2 1256674514180403200,5122.0,,11.22262691,89.11,19.751226,20.084724,19.261673
Gaia DR2 1258206340036418560,4933.0,,12.06515595,82.88,19.343786,19.725384,18.798956
Gaia DR2 1263732043096088320,4394.0,,11.27745301,88.67,20.055613,20.846394,19.360249
Gaia DR2 1265985590961480192,6776.0,,14.80364145,67.55,18.030262,18.230053,17.718904
Gaia DR2 1267289165075531008,5768.0,,10.65934677,93.81,18.910349,19.25247,18.460129
Gaia DR2 1269138715432182784,4786.0,,15.25710465,65.54,19.076538,19.658537,18.458303
Gaia DR2 1269638134229067392,5004.0,,15.98678102,62.55,18.507463,18.908455,17.930473
Gaia DR2 1271096675060378624,6188.0,,13.68792936,73.06,18.58667,18.834446,18.19743
Gaia DR2 1272088876928180608,4824.0,,11.73933154,85.18,19.240831,19.723742,18.665747
Gaia DR2 1276297674297720576,6053.0,,21.74283367,45.99,17.430653,17.672323,17.046677
Gaia DR2 127856640916806528,8003.0,,10.44199083,95.77,18.168993,18.333067,17.940582
Gaia DR2 1281810110201241344,4039.0,,12.35643775,80.93,18.845228,19.296286,18.297302
Gaia DR2 128436220983493632,4934.0,,12.65571401,79.02,18.469584,19.046911,17.8667
Gaia DR2 128826375813389568,6814.0,,11.9718378,83.53,18.305468,18.481884,17.99064
Gaia DR2 1289211434068336512,5092.0,,16.94448635,59.02,18.862022,19.326166,18.264656
Gaia DR2 1290050262657404544,6546.0,,12.26665742,81.52,18.473787,18.660986,18.16428
Gaia DR2 1292166062330701056,5809.0,,10.5813472,94.51,19.068249,19.352623,18.665142
Gaia DR2 129352114170007680,11060.0,,10.15573658,98.47,19.739773,19.837055,19.662243
Gaia DR2 1294193561772534016,5140.0,,10.24097024,97.65,19.43424,19.923082,18.867949
Gaia DR2 1294793345366747776,4824.0,,12.98605053,77.01,19.085957,19.58631,18.473238
Gaia DR2 1300334299853917184,4608.0,,12.21546169,81.86,19.644852,20.203936,18.988352
Gaia DR2 1305209190813293440,5850.0,,10.79203449,92.66,18.775394,19.086222,18.378492
Gaia DR2 1311859655613503232,5619.0,,13.50384618,74.05,18.142353,18.429161,17.695227
Gaia DR2 1319952542230868096,4899.0,,10.49826321,95.25,19.573341,20.026707,19.012218
Gaia DR2 1320147671184560896,5167.0,,11.57378852,86.40,19.478783,19.903578,18.873909
Gaia DR2 1325899461324069376,7478.0,,17.89809683,55.87,17.015734,17.150774,16.786398
Gaia DR2 1343022671299977216,9137.0,,11.73918714,85.18,17.424284,17.509882,17.281343
Gaia DR2 1343052491256548992,6269.0,,14.93376865,66.96,18.520947,18.834047,18.141462
Gaia DR2 1344107816260932480,7299.0,,12.33854637,81.05,18.40299,18.63084,18.127758
Gaia DR2 1345041748308955648,5350.0,,10.98254517,91.05,19.074854,19.422276,18.538208
Gaia DR2 1348007784003797376,7125.0,,10.07389971,99.27,18.527775,18.681143,18.264147
Gaia DR2 1349726324974648192,7153.0,,15.34036288,65.19,17.538616,17.69245,17.274508
Gaia DR2 1354258473248294912,5609.0,,16.7536742,59.69,18.045918,18.321985,17.571436
Gaia DR2 135432039810291456,10431.0,,13.73802145,72.79,16.667522,16.683716,16.61296
Gaia DR2 1354669553158591232,5739.0,,13.4330457,74.44,18.55891,18.891108,18.112526
Gaia DR2 1360235560190381440,5157.0,,19.11690297,52.31,18.404709,18.812254,17.838343
Gaia DR2 136540274515184768,6818.0,,10.92863133,91.50,18.23588,18.481964,17.88209
Gaia DR2 136692075844561280,4883.0,,19.4526602,51.41,18.444218,19.009354,17.82607
Gaia DR2 137141810455464192,6268.0,,11.8222256,84.59,18.621357,18.862976,18.28762
Gaia DR2 1373569711363357056,6221.0,,16.4665146,60.73,17.935312,18.18692,17.521101
Gaia DR2 1374151146855898240,5132.0,,12.50365796,79.98,19.281832,19.71876,18.767155
Gaia DR2 1378546345804178560,4878.0,,11.04161348,90.57,19.765373,20.345999,19.129093
Gaia DR2 1381245848713362432,5126.0,,18.62354793,53.70,19.115648,19.593777,18.509047
Gaia DR2 1383292181587562496,4607.0,,18.55980138,53.88,18.485153,19.049812,17.783482
Gaia DR2 1387477674460715392,5587.0,,10.05476436,99.46,19.63413,20.091982,19.113403
Gaia DR2 1390852870215428608,6132.0,,13.70752784,72.95,18.244009,18.502111,17.792757
Gaia DR2 1394479501945576064,4491.0,,11.09815411,90.11,19.983236,20.283237,19.627459
Gaia DR2 1406792623427291136,5181.0,,13.76741259,72.64,18.828032,19.224998,18.2375
Gaia DR2 1408863003822944000,5789.0,,13.6104847,73.47,18.636587,18.976543,18.196505
Gaia DR2 1409166984427845632,5955.0,,11.2385047,88.98,19.030909,19.25294,18.700535
Gaia DR2 1412116767967011712,4934.0,,15.01749783,66.59,18.995596,19.541002,18.382269
Gaia DR2 1412126319974269696,5473.0,,14.6157599,68.42,18.530155,18.864056,18.031042
Gaia DR2 1417404048803018752,4871.0,,15.39448397,64.96,18.609282,18.866446,18.008627
Gaia DR2 1424656526287583744,4670.0,,11.52342306,86.78,20.668333,20.432158,20.494713
Gaia DR2 14250873286930048,6381.0,,10.35147482,96.60,19.047167,19.426743,18.636143
Gaia DR2 1425236724824667520,4612.0,,24.30353222,41.15,17.89762,18.4298,17.201721
Gaia DR2 1429800419634352000,5971.0,,10.1094213,98.92,19.201948,19.577347,18.913435
Gaia DR2 1430007784951049216,7533.0,,12.07812281,82.79,17.881317,18.010023,17.675533
Gaia DR2 1435887934481462784,5740.0,,15.32169342,65.27,18.416199,18.673328,17.993689
Gaia DR2 1436271354802097792,4673.0,,13.46126039,74.29,19.510647,20.086512,18.805458
Gaia DR2 1441044132915458176,5224.0,,13.93440336,71.76,18.66881,18.989435,18.24424
Gaia DR2 1447925976193082368,3886.0,-4.44,23.29833143,42.92,18.77656,19.498718,17.989212
Gaia DR2 1451503404777191936,,,10.01710057,99.83,20.066338,20.565678,19.497902
