,source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_g_mean_flux_over_error,phot_bp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_mag,phot_rp_mean_flux_over_error,M_G,bp_rp,ra2,dec2,u_mag,u_mag_error,g_mag,g_mag_error,r_mag,r_mag_error,i_mag,i_mag_error,z_mag,z_mag_error,clean_flag,ra3,dec3,g_mean_psf_mag,g_mean_psf_mag_error,r_mean_psf_mag,r_mean_psf_mag_error,i_mean_psf_mag,i_mean_psf_mag_error,z_mean_psf_mag,z_mean_psf_mag_error,y_mean_psf_mag,y_mean_psf_mag_error,sdssdr9_oid
4040,139623068897753856,42.43512543788919,33.124953232995985,28.006533578848984,0.068367764,178.45992205679536,0.08591011,260.6465799971762,0.08233971,16.986555,1476.6373,17.34158,138.55557,16.48104,157.26257,14.222851893026776,0.8605404,42.4345180109442,33.124229506334096,18.46692,0.01941321,17.434443,0.012406009,16.965193,0.01146204,16.789957,0.0141519485,16.742664,0.015133107,1,42.434937,33.124725,17.3726005554199,0.00349700008518994,16.9780006408691,0.00435899989679456,16.8197002410889,0.00300800008699298,16.7837009429932,0.00358400004915893,16.7803993225098,0.00563299981877208,328654126
4041,2731866347221858432,340.4903979900573,13.542447434577003,28.018180274496682,0.11404222,63.308319986995365,0.09882056,-394.2019761796635,0.09678653,17.16184,1145.4862,17.464367,122.98209,16.701025,112.870636,14.399040065324561,0.7633419,340.490106415698,13.544123266893186,18.435972,0.017222516,17.53484,0.016052501,17.147232,0.01276885,17.02151,0.017889764,16.95815,0.01783838,1,340.49033,13.542961,17.5186996459961,0.00466600013896823,17.1550998687744,0.010975000448525,17.0308990478516,0.00342099997214973,17.0133991241455,0.00328999990597367,17.0181999206543,0.0099889999255538,185093619
4042,2531326283993100416,16.068647889833105,-3.8407189791256373,28.098735201370932,0.123552494,378.4470898881799,0.1365772,-74.9350525005679,0.14479922,17.780037,953.06213,18.201391,50.826214,17.21362,129.4604,15.023470784259743,0.987772,16.067898339279438,-3.8405741471068735,19.763157,0.035842672,18.36412,0.02630372,17.75058,0.012257253,17.538935,0.012007347,17.433147,0.017197512,1,16.068233,-3.8406382,18.2684993743896,0.00513500021770597,17.763599395752,0.00408500013872981,17.5499000549316,0.00294700008817017,17.5062999725342,0.0181469991803169,17.4764003753662,0.00592599995434284,42476905
4043,675615677264385536,123.35410640150911,19.957924446049756,28.20132685172155,0.17599252,-125.94279620611695,0.18100397,-40.82063135056198,0.12562546,18.312412,626.18494,18.994963,40.669724,17.516626,75.684006,15.563759972145657,1.4783363,123.35441775606901,19.958014937019847,21.712072,0.14600448,19.443718,0.018177757,18.293402,0.016485846,17.851377,0.012128213,17.641373,0.029468544,1,123.35427,19.957972,19.2845993041992,0.0111389998346567,18.285400390625,0.00372899998910725,17.8768005371094,0.00299099995754659,17.7040004730225,0.00782299973070621,17.6319999694824,0.0176999997347593,234344126
4044,1472029470098019072,204.12623679187843,36.39617273428707,28.216511424138186,0.04165612,-233.12877087627226,0.022794394,-145.08276602697617,0.028720533,16.251783,2814.3833,16.46167,391.61328,15.891014,430.7031,13.504299962552842,0.5706558,204.12718989127634,36.39665366552845,17.036768,0.013625401,16.454704,0.024333112,16.280565,0.025507508,16.233727,0.01771065,16.238062,0.016510867,1,204.12633,36.396217,16.4650993347168,0.00581499980762601,16.2733001708984,0.00724700000137091,16.2399997711182,0.00343600008636713,,,,,346610109
4045,3727155340815968256,208.04801123198573,10.896895613031052,28.289535665648362,0.075493015,-242.27608262887082,0.07232477,-190.56691027071707,0.048688397,16.746572,1570.7845,17.049376,174.60391,16.281612,237.00696,14.004701590310413,0.76776314,208.0488800303683,10.897569459563467,17.967672,0.02750593,17.127378,0.016120538,16.754475,0.014780787,16.60846,0.017610729,16.623375,0.018009897,1,208.04808,10.896949,,,,,,,16.6026000976563,0.00759499985724688,16.5921001434326,0.0113589996472001,165399673
4046,2696628687474414208,327.3067713284782,4.2630092803992214,28.49346191916868,0.06605005,13.858754709482307,0.06623066,-219.97954520220776,0.055013653,16.647818,1762.2836,17.075813,162.14912,16.051712,222.75209,13.921543705040168,1.0241013,327.30674025872304,4.2634426766455755,18.713108,0.02426693,17.240118,0.015282385,16.622467,0.00979737,16.3896,0.01200008,16.28231,0.017665464,1,327.30676,4.2631016,17.1590003967285,0.0023199999704957,16.6341991424561,0.00469300011172891,16.3978996276855,0.0016390000237152,16.328800201416,0.00254300003871322,16.2868995666504,0.00660899979993701,110654156
4047,1797472370615364992,323.4317678387499,24.248541533495562,28.534344946925525,0.07758702,-62.21763335208023,0.067437656,-185.48039094892266,0.037817728,17.087528,2011.4032,17.330326,223.61044,16.676651,300.86346,14.364367764016787,0.6536751,323.4318763191222,24.248875501439333,18.120596,0.019699458,17.388447,0.039120946,17.080961,0.0650826,16.979626,0.06667484,16.98093,0.033801753,1,323.4318,24.24862,17.3675003051758,0.00508699985221028,17.1000995635986,0.0027320000808686,17.0084991455078,0.00755500001832843,17.023099899292,0.0041189999319613,17.0463008880615,0.00555599993094802,266798198
4048,1336988963803208192,259.9816981773375,36.657849907912365,28.539797198378277,0.051695786,-113.17325275449879,0.05311918,-503.50292219596895,0.0727615,16.953382,885.9288,17.02607,50.70097,15.9273615,25.083023,14.230636905696104,1.0987082,259.98217110981017,36.65949741009576,18.493557,0.09814624,17.925062,0.31208298,16.975368,0.07148151,18.50504,0.90194964,17.088892,1.728581,0,259.9819,36.65862,,,16.7446002960205,0.00542799988761544,,,,,,,348042724
4049,808030648576069760,150.51720087536705,43.44559171621573,28.61788532022334,0.10097067,28.37946244421689,0.080964275,-110.83675831362987,0.07893886,17.77098,1148.4816,18.304995,83.487854,17.078447,141.97243,15.0541685300027,1.2265472,150.5170579400021,43.446012631559356,20.446964,0.04397242,18.555733,0.020443454,17.74418,0.017650982,17.432617,0.017614612,17.266502,0.016339885,1,150.51718,43.445633,18.4465007781982,0.00779200019314885,17.7183990478516,0.0104599995538592,17.4465999603271,0.00293499999679625,17.3493003845215,0.00423000007867813,17.2644996643066,0.0066249999217689,384227750
