wdid,teff,logL,parallax,Dpc,G,BP,RP
Gaia DR2 4086514494266603776,11163.0,,12.31391008,81.21,16.721342,16.723753,16.749004
Gaia DR2 4113135633609628800,11381.0,,11.14627811,89.72,16.849108,16.832409,16.76349
Gaia DR2 417761405779164928,12550.0,,10.28020259,97.27,16.476036,16.436052,16.55078
Gaia DR2 4207674112941008000,12984.0,,10.75271414,93.00,15.55956,15.46798,15.673109
Gaia DR2 423690522237819904,15683.0,,10.63903553,93.99,15.87977,15.802897,16.0201
Gaia DR2 4237759126196907264,10451.0,,10.31342748,96.96,17.395521,17.40193,17.365223
Gaia DR2 424018417222420352,10845.0,,11.3359556,88.21,16.738926,16.742813,16.7075
Gaia DR2 4298401105174809984,10594.0,,10.67910009,93.64,16.87141,16.876457,16.8353
Gaia DR2 4326453082771692544,11784.0,,23.4867002,42.58,14.820688,14.788426,14.859529
Gaia DR2 4337798810117194112,13294.0,,10.24932513,97.57,16.316399,16.281332,16.362185
Gaia DR2 4378200708477838464,12364.0,,16.44969296,60.79,15.475315,15.439151,15.529541
Gaia DR2 4398887092042907904,10951.0,,18.60670022,53.74,15.552321,15.511376,15.584506
Gaia DR2 4479342339285057408,34056.0,,13.23552513,75.55,17.014015,16.873672,17.274605
Gaia DR2 4521632824961961728,16364.0,,11.13419095,89.81,15.399198,15.319514,15.54529
Gaia DR2 4645779163881638528,13110.0,,12.95813244,77.17,16.100231,16.072336,16.14633
Gaia DR2 4731934799090578944,10775.0,,10.01138494,99.89,17.146381,17.166275,17.112679
Gaia DR2 4735565008528213632,13045.0,,10.75573521,92.97,16.919529,16.901243,16.965975
Gaia DR2 4816435909815730816,14927.0,,13.8329187,72.29,15.534108,15.448378,15.529847
Gaia DR2 4851142853341288064,13397.0,,23.87943164,41.88,15.761703,15.708544,15.824376
Gaia DR2 48601544980508672,11838.0,,11.0059276,90.86,16.58124,16.575565,16.587072
Gaia DR2 4867104257483687040,13404.0,,16.9223527,59.09,15.677554,15.634107,15.727573
Gaia DR2 4904968208127215104,15009.0,,13.64055087,73.31,17.457008,17.416054,17.515287
Gaia DR2 4906307207132391040,15263.0,,11.94918386,83.69,15.900365,15.84122,15.995999
Gaia DR2 4985481905578060544,12978.0,,10.60231386,94.32,16.556225,16.535164,16.592068
Gaia DR2 5089660838467840000,10697.0,,11.61915845,86.06,16.84123,16.855265,16.817526
Gaia DR2 5099182265566440320,14831.0,,11.42288482,87.54,16.19891,16.12348,16.328606
Gaia DR2 5104908586547962112,11048.0,,10.18742778,98.16,16.916166,16.921722,16.898481
